fold,seed,detector,task,auroc,n
2,1,H&S,-1,0.7792119565217391,204
2,1,H&S,0,0.6139438085327783,62
2,1,H&S,4,0.8293010752688172,79
2,1,H&S,6,0.8575757575757575,63
2,1,H&S [task-rel],-1,0.7279697204968945,204
2,1,H&S [task-rel],0,0.5390218522372529,62
2,1,H&S [task-rel],4,0.7405913978494624,79
2,1,H&S [task-rel],6,0.8616161616161616,63
2,1,SAFE-Embed,-1,0.7926048136645962,204
2,1,SAFE-Embed,0,0.7544224765868887,62
2,1,SAFE-Embed,4,0.7688172043010753,79
2,1,SAFE-Embed,6,0.8747474747474747,63
2,1,SAFE-Embed [task-rel],-1,0.7138004658385093,204
2,1,SAFE-Embed [task-rel],0,0.6795005202913632,62
2,1,SAFE-Embed [task-rel],4,0.7345430107526881,79
2,1,SAFE-Embed [task-rel],6,0.8515151515151516,63
2,1,hand:cum_mean_token_entropy,-1,0.5225155279503105,204
2,1,hand:cum_mean_token_entropy,0,0.5150884495317378,62
2,1,hand:cum_mean_token_entropy,4,0.543010752688172,79
2,1,hand:cum_mean_token_entropy,6,0.5545454545454546,63
2,1,hand:cum_mean_token_entropy [task-rel],-1,0.36587732919254656,204
2,1,hand:cum_mean_token_entropy [task-rel],0,0.4172736732570239,62
2,1,hand:cum_mean_token_entropy [task-rel],4,0.25201612903225806,79
2,1,hand:cum_mean_token_entropy [task-rel],6,0.3747474747474748,63
2,1,hand:mean_token_entropy,-1,0.31948757763975155,204
2,1,hand:mean_token_entropy,0,0.5067637877211238,62
2,1,hand:mean_token_entropy,4,0.17876344086021506,79
2,1,hand:mean_token_entropy,6,0.2676767676767677,63
2,1,hand:mean_token_entropy [task-rel],-1,0.4746700310559006,204
2,1,hand:mean_token_entropy [task-rel],0,0.47762747138397504,62
2,1,hand:mean_token_entropy [task-rel],4,0.4825268817204301,79
2,1,hand:mean_token_entropy [task-rel],6,0.4727272727272727,63
2,1,hand:cum_max_token_entropy,-1,0.6463509316770186,204
2,1,hand:cum_max_token_entropy,0,0.4755463059313215,62
2,1,hand:cum_max_token_entropy,4,0.7956989247311828,79
2,1,hand:cum_max_token_entropy,6,0.6626262626262627,63
2,1,hand:cum_max_token_entropy [task-rel],-1,0.4796195652173913,204
2,1,hand:cum_max_token_entropy [task-rel],0,0.36524453694068676,62
2,1,hand:cum_max_token_entropy [task-rel],4,0.38306451612903225,79
2,1,hand:cum_max_token_entropy [task-rel],6,0.705050505050505,63
2,1,hand:cum_mean_token_prob,-1,0.36985636645962733,204
2,1,hand:cum_mean_token_prob,0,0.5015608740894901,62
2,1,hand:cum_mean_token_prob,4,0.25336021505376344,79
2,1,hand:cum_mean_token_prob,6,0.3474747474747475,63
2,1,hand:cum_mean_token_prob [task-rel],-1,0.3692740683229814,204
2,1,hand:cum_mean_token_prob [task-rel],0,0.4162330905306972,62
2,1,hand:cum_mean_token_prob [task-rel],4,0.2614247311827957,79
2,1,hand:cum_mean_token_prob [task-rel],6,0.3888888888888889,63
2,1,hand:cum_dpos,-1,0.508394798136646,204
2,1,hand:cum_dpos,0,0.568678459937565,62
2,1,hand:cum_dpos,4,0.4334677419354839,79
2,1,hand:cum_dpos,6,0.5161616161616162,63
2,1,hand:cum_dpos [task-rel],-1,0.4237189440993789,204
2,1,hand:cum_dpos [task-rel],0,0.5254942767950052,62
2,1,hand:cum_dpos [task-rel],4,0.3844086021505376,79
2,1,hand:cum_dpos [task-rel],6,0.3838383838383838,63
2,1,hand:cum_drot,-1,0.5186335403726708,204
