fold,seed,detector,frac,auroc
0,1,hand:cum_dpos,0.1,0.49137415237335463
0,1,hand:cum_dpos,0.2,0.49137415237335463
0,1,hand:cum_dpos,0.3,0.49137415237335463
0,1,hand:cum_dpos,0.4,0.49137415237335463
0,1,hand:cum_dpos,0.5,0.49137415237335463
0,1,hand:cum_dpos,0.6,0.49137415237335463
0,1,hand:cum_dpos,0.7,0.49137415237335463
0,1,hand:cum_dpos,0.8,0.49137415237335463
0,1,hand:cum_dpos,0.9,0.49137415237335463
0,1,hand:cum_dpos,1.0,0.49137415237335463
0,1,hand:cum_dpos [task-rel],0.1,0.5516553649780614
0,1,hand:cum_dpos [task-rel],0.2,0.5349022736338253
0,1,hand:cum_dpos [task-rel],0.3,0.45841643398484244
0,1,hand:cum_dpos [task-rel],0.4,0.47038292780215396
0,1,hand:cum_dpos [task-rel],0.5,0.5172516952532907
0,1,hand:cum_dpos [task-rel],0.6,0.55364978061428
0,1,hand:cum_dpos [task-rel],0.7,0.5488631830873554
0,1,hand:cum_dpos [task-rel],0.8,0.5511567610690068
0,1,hand:cum_dpos [task-rel],0.9,0.5424810530514559
0,1,hand:cum_dpos [task-rel],1.0,0.5345033905065816
0,1,hand:cum_drot,0.1,0.509872357399282
0,1,hand:cum_drot,0.2,0.5488631830873554
0,1,hand:cum_drot,0.3,0.5853609892301556
0,1,hand:cum_drot,0.4,0.6168727562824092
0,1,hand:cum_drot,0.5,0.5981252493019545
0,1,hand:cum_drot,0.6,0.5857598723573992
0,1,hand:cum_drot,0.7,0.5820702034303948
0,1,hand:cum_drot,0.8,0.5802752293577982
0,1,hand:cum_drot,0.9,0.5997207818109294
0,1,hand:cum_drot,1.0,0.5997207818109294
0,1,hand:cum_drot [task-rel],0.1,0.5612285600319107
0,1,hand:cum_drot [task-rel],0.2,0.5220382927802154
0,1,hand:cum_drot [task-rel],0.3,0.5827682489030714
0,1,hand:cum_drot [task-rel],0.4,0.5837654567211807
0,1,hand:cum_drot [task-rel],0.5,0.5831671320303151
0,1,hand:cum_drot [task-rel],0.6,0.5784802552852014
0,1,hand:cum_drot [task-rel],0.7,0.5561428001595532
0,1,hand:cum_drot [task-rel],0.8,0.5605305145592342
0,1,hand:cum_drot [task-rel],0.9,0.5616274431591544
0,1,hand:cum_drot [task-rel],1.0,0.5611288392500997
0,1,hand:dgripper,0.1,0.5185480654168328
0,1,hand:dgripper,0.2,0.5277223773434384
0,1,hand:dgripper,0.3,0.5051356202632629
0,1,hand:dgripper,0.4,0.41040087754287996
0,1,hand:dgripper,0.5,0.3937973673713602
0,1,hand:dgripper,0.6,0.4546270442760271
0,1,hand:dgripper,0.7,0.47043278819305945
0,1,hand:dgripper,0.8,0.47706422018348627
0,1,hand:dgripper,0.9,0.4908256880733945
0,1,hand:dgripper,1.0,0.4908256880733945
0,1,hand:dgripper [task-rel],0.1,0.5103211009174312
0,1,hand:dgripper [task-rel],0.2,0.5230853609892302
0,1,hand:dgripper [task-rel],0.3,0.4964100518548065
0,1,hand:dgripper [task-rel],0.4,0.39384722776226566
0,1,hand:dgripper [task-rel],0.5,0.3647287594734743
0,1,hand:dgripper [task-rel],0.6,0.43353609892301553
0,1,hand:dgripper [task-rel],0.7,0.45372955723972874
0,1,hand:dgripper [task-rel],0.8,0.45976266453929
0,1,hand:dgripper [task-rel],0.9,0.47945751894694855
0,1,hand:dgripper [task-rel],1.0,0.47960710011966495
1,0,SAFE-MLP,0.1,0.5119445771619685
1,0,SAFE-MLP,0.2,0.5118251313903488
1,0,SAFE-MLP,0.3,0.5440754897276636
1,0,SAFE-MLP,0.4,0.5518394648829431
1,0,SAFE-MLP,0.5,0.581820353559484
1,0,SAFE-MLP,0.6,0.6244624940277114
1,0,SAFE-MLP,0.7,0.6643573817486861
1,0,SAFE-MLP,0.8,0.6886048733874821
1,0,SAFE-MLP,0.9,0.7046106067845198
1,0,SAFE-MLP,1.0,0.714763497372193
1,0,SAFE-MLP [task-rel],0.1,0.4992833253702819
1,0,SAFE-MLP [task-rel],0.2,0.5193502150023889
1,0,SAFE-MLP [task-rel],0.3,0.5096751075011945
1,0,SAFE-MLP [task-rel],0.4,0.5086000955566173
1,0,SAFE-MLP [task-rel],0.5,0.5271141901576685
1,0,SAFE-MLP [task-rel],0.6,0.5234113712374582
1,0,SAFE-MLP [task-rel],0.7,0.5541089345437171
1,0,SAFE-MLP [task-rel],0.8,0.5733397037744864
1,0,SAFE-MLP [task-rel],0.9,0.5944816053511706
1,0,SAFE-MLP [task-rel],1.0,0.6002150023889155
1,0,H&S,0.1,0.38330148112756807
1,0,H&S,0.2,0.4056378404204491
1,0,H&S,0.3,0.4368131868131868
1,0,H&S,0.4,0.4930721452460583
1,0,H&S,0.5,0.55303392259914
1,0,H&S,0.6,0.5612756808408982
1,0,H&S,0.7,0.6021261347348303
1,0,H&S,0.8,0.6293597706641185
1,0,H&S,0.9,0.6519350215002389
1,0,H&S,1.0,0.668179646440516
1,0,H&S [task-rel],0.1,0.4485188724319159
1,0,H&S [task-rel],0.2,0.3914237935977066
1,0,H&S [task-rel],0.3,0.41997133301481127
1,0,H&S [task-rel],0.4,0.48721930243669376
1,0,H&S [task-rel],0.5,0.5476588628762542
1,0,H&S [task-rel],0.6,0.5422838031533683
1,0,H&S [task-rel],0.7,0.5803870043000477
1,0,H&S [task-rel],0.8,0.5863592928810321
1,0,H&S [task-rel],0.9,0.6078595317725752
1,0,H&S [task-rel],1.0,0.615145723841376
1,0,SAFE-Embed,0.1,0.5800286669851887
1,0,SAFE-Embed,0.2,0.45819397993311034
1,0,SAFE-Embed,0.3,0.42044911610129
1,0,SAFE-Embed,0.4,0.43514094601051123
1,0,SAFE-Embed,0.5,0.46392737697085523
1,0,SAFE-Embed,0.6,0.5121834687052078
1,0,SAFE-Embed,0.7,0.5500477783086479
1,0,SAFE-Embed,0.8,0.5742952699474438
1,0,SAFE-Embed,0.9,0.6143096034400383
1,0,SAFE-Embed,1.0,0.6573100812231247
1,0,SAFE-Embed [task-rel],0.1,0.3528428093645485
1,0,SAFE-Embed [task-rel],0.2,0.35105112279025324
1,0,SAFE-Embed [task-rel],0.3,0.38067367415193504
1,0,SAFE-Embed [task-rel],0.4,0.42259913999044435
1,0,SAFE-Embed [task-rel],0.5,0.45532728141423795
1,0,SAFE-Embed [task-rel],0.6,0.49426660296225516
1,0,SAFE-Embed [task-rel],0.7,0.5327281414237935
1,0,SAFE-Embed [task-rel],0.8,0.557572861920688
1,0,SAFE-Embed [task-rel],0.9,0.5863592928810321
1,0,SAFE-Embed [task-rel],1.0,0.608337314859054
1,0,hand:cum_mean_token_entropy,0.1,0.37661251791686573
1,0,hand:cum_mean_token_entropy,0.2,0.4039655996177735
1,0,hand:cum_mean_token_entropy,0.3,0.4039655996177735
1,0,hand:cum_mean_token_entropy,0.4,0.4677496416626851
1,0,hand:cum_mean_token_entropy,0.5,0.47551361681796467
1,0,hand:cum_mean_token_entropy,0.6,0.4952221691352126
1,0,hand:cum_mean_token_entropy,0.7,0.4878165312947922
1,0,hand:cum_mean_token_entropy,0.8,0.5114667940754897
1,0,hand:cum_mean_token_entropy,0.9,0.5106306736741519
1,0,hand:cum_mean_token_entropy,1.0,0.5520783564261825
1,0,hand:cum_mean_token_entropy [task-rel],0.1,0.39751552795031053
1,0,hand:cum_mean_token_entropy [task-rel],0.2,0.41782130912565696
